,measure_name,clf,anomaly,mean,std
181,roc_auc,DTC,Strong background,0.8614386129334584,0.025565854313605467
182,roc_auc,GaussianNB,Artifact,0.8131047523904668,0.05863568133700093
183,roc_auc,GaussianNB,Background ring,0.597845841338646,0.04463115282722401
184,roc_auc,GaussianNB,Diffuse scattering,0.6464685191815518,0.03785778479187879
185,roc_auc,GaussianNB,Ice ring,0.6733405333918128,0.07349922362337853
186,roc_auc,GaussianNB,Loop scattering,0.6622707156308852,0.02769965030118219
187,roc_auc,GaussianNB,Non-uniform detector,0.6693816215010594,0.030866641879719384
188,roc_auc,GaussianNB,Strong background,0.9083683010990884,0.02141891599707461
189,roc_auc,KNN,Artifact,0.7947767906696479,0.051638191702445595
190,roc_auc,KNN,Background ring,0.7415658397251896,0.03326396168361045
191,roc_auc,KNN,Diffuse scattering,0.6759592580805335,0.050110587074655544
192,roc_auc,KNN,Ice ring,0.6078510684384505,0.03858728422195351
193,roc_auc,KNN,Loop scattering,0.7402313816127376,0.026200470505397373
194,roc_auc,KNN,Non-uniform detector,0.660560388089662,0.04749454217913098
195,roc_auc,KNN,Strong background,0.9277545724347505,0.01981389736081396
196,roc_auc,QuadraticDisciminantAnalysis,Artifact,0.6116047841047841,0.04621854522504406
197,roc_auc,QuadraticDisciminantAnalysis,Background ring,0.5400568551841751,0.027015442180436472
198,roc_auc,QuadraticDisciminantAnalysis,Diffuse scattering,0.4861079727537539,0.020220034037665726
199,roc_auc,QuadraticDisciminantAnalysis,Ice ring,0.48077523843606923,0.06596271413157878
200,roc_auc,QuadraticDisciminantAnalysis,Loop scattering,0.5242666495463106,0.0408259524135694
201,roc_auc,QuadraticDisciminantAnalysis,Non-uniform detector,0.5195167751842225,0.047477375328104685
202,roc_auc,QuadraticDisciminantAnalysis,Strong background,0.5983059271250462,0.04047405987301792
203,roc_auc,RFC,Artifact,0.8957580118294404,0.03645728241623283
204,roc_auc,RFC,Background ring,0.8429335679605415,0.035349629521040024
205,roc_auc,RFC,Diffuse scattering,0.7822849451671506,0.03229068525157966
206,roc_auc,RFC,Ice ring,0.8427800634394439,0.042949378002458384
207,roc_auc,RFC,Loop scattering,0.8044676425269645,0.017330839670429418
208,roc_auc,RFC,Non-uniform detector,0.7722135865695585,0.04352171704975369
209,roc_auc,RFC,Strong background,0.9735129291982618,0.008536416753511349
